,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
619,MoSDeF,MC,cassandra,ethanolAA,3,280.0,0.8134731540058334,0.006635803215414433,oplsaa
620,MoSDeF,MD,lammps-VU,waterSPCE,7,300.0,0.9978290306806846,0.007501367453894559,spce
621,MoSDeF,MC,mcccs,ethanolAA,12,300.0,0.7926540285694067,0.007176931274956449,oplsaa
622,MoSDeF,MC,gomc,methaneUA,6,140.0,0.37600354369074995,0.0037539277460459765,trappe-ua
623,MoSDeF,MC,cassandra,benzeneUA,12,450.0,0.6974881800866667,0.013715946430707138,benzene-ua
624,MoSDeF,MD,hoomd,ethanolAA,5,320.0,0.7722766200292688,0.007824152057677105,oplsaa
625,MoSDeF,MD,lammps-VU,waterSPCE,12,320.0,0.9863308479985909,0.007913147993188938,spce
626,MoSDeF,MD,lammps-VU,benzeneUA,5,450.0,0.697946706182614,0.014282695339086004,benzene-ua
627,MoSDeF,MD,gromacs,benzeneUA,4,450.0,0.6944461359803235,0.020603829653602773,benzene-ua
628,MoSDeF,MD,hoomd,ethanolAA,14,280.0,0.8145293760651031,0.0066512960207032335,oplsaa
629,MoSDeF,MD,gromacs,ethanolAA,12,280.0,0.8168121635438538,0.008869558316663868,oplsaa
630,MoSDeF,MD,lammps-VU,waterSPCE,9,300.0,0.9977837334222268,0.007658067845955505,spce
631,MoSDeF,MD,gromacs,waterSPCE,13,320.0,0.9862307232279128,0.007979598219354352,spce
632,MoSDeF,MD,gromacs,ethanolAA,9,320.0,0.7735779501936526,0.010587563422815414,oplsaa
633,MoSDeF,MD,lammps-VU,waterSPCE,8,280.0,1.0070351883019488,0.007283234990398731,spce
634,MoSDeF,MD,lammps-VU,waterSPCE,14,280.0,1.0069817192013102,0.00718814781464797,spce
635,MoSDeF,MC,cassandra,ethanolAA,10,320.0,0.7686292744308333,0.007771543833596907,oplsaa
636,MoSDeF,MC,gomc,waterSPCE,5,300.0,0.9976592428511667,0.006882930821462541,spce
637,MoSDeF,MC,gomc,ethanolAA,7,280.0,0.8119509288002499,0.005687026918366588,oplsaa
